tf3,tf2,tf5,tf4,copy_all_txt,tf6,f1,copy_all,f2,f3,f4,f5,f6,copy_all_range,wc8_5,wc8_6,wc4_7,wc8_4,s1,wc8_7,s2,s3,wc4_1,s4,wc4_2,s5,s6,s7,wc4_5,wc8_1,wc4_6,wc8_2,wc4_4,tl1,tl3,tl2,tl5,tl4,tl6,td1,td3,td2,td5,l1,td4,l2,l3,td6,l4,l5,l6,d1,d2,d3,d4,d5,d6,ti2,ti1,ti4,ti3,ti6,ti5,i1,i2,i3,i4,i5,i6,tf1
4.0,26.0,["13"],21.0,"[15,wc4_4@15,wc4_3@12,9,wc4_1@13,18,3,19,20,19,26,25,11,17,4,3,10,s1@30,s2@9,s3@20,s4@28,s5@17,s6@5,s7@4]",["28.0"],1.0,["null"],14.0,17.0,1.0,["16"],["28.0"],["null"],["null"],["10"],["5"],17,30,["31"],9,20,13,["null"],9,["17"],["5"],["4"],["null"],["null"],["5"],18,15,11,27,28,["31"],17,["23"],9.0,4.0,27.0,["13"],31,17.0,20,6,["4.0"],14,["13"],["0"],30.0,16.0,26.0,0.0,["30"],["26.0"],11,25,4,17,["10"],["3"],18,3,19,20,["19"],["26"],10.0
26.0,15.0,["26"],29.0,"[1,wc4_4@29,wc4_3@28,22,wc4_1@24,12,9,21,27,16,31,0,30,19,30,18,21,s1@5,s2@10,s3@27,s4@23,s5@7,s6@20,s7@8]",["2.0"],14.0,["null"],2.0,11.0,0.0,["12"],["3.0"],["null"],["null"],["5"],["21"],10,5,["5"],10,27,24,["null"],22,["7"],["20"],["8"],["null"],["null"],["14"],19,29,12,8,28,["9"],13,["14"],4.0,23.0,25.0,["22"],30,21.0,27,29,["30.0"],30,["17"],["20"],16.0,1.0,18.0,5.0,["9"],["27.0"],30,0,30,19,["21"],["18"],12,9,21,27,["16"],["31"],30.0
12.0,8.0,["9"],17.0,"[7,wc4_4@1,wc4_3@0,7,wc4_1@23,29,7,18,27,9,9,24,11,25,13,3,18,s1@3,s2@20,s3@15,s4@1,s5@21,s6@4,s7@6]",["31.0"],27.0,["null"],13.0,23.0,24.0,["19"],["8.0"],["null"],["null"],["13"],["10"],15,3,["21"],20,15,23,["null"],7,["21"],["4"],["6"],["null"],["null"],["10"],9,1,25,5,9,["21"],18,["21"],19.0,29.0,9.0,["3"],22,30.0,15,20,["7.0"],30,["23"],["31"],1.0,3.0,26.0,29.0,["4"],["27.0"],11,24,13,25,["18"],["3"],29,7,18,27,["9"],["9"],12.0
18.0,28.0,["25"],21.0,"[25,wc4_4@30,wc4_3@17,10,wc4_1@8,29,2,31,0,12,25,28,30,30,10,7,0,s1@28,s2@11,s3@15,s4@8,s5@31,s6@2,s7@29]",["16.0"],25.0,["null"],4.0,0.0,28.0,["0"],["31.0"],["null"],["null"],["8"],["4"],20,28,["28"],11,15,8,["null"],10,["31"],["2"],["29"],["null"],["null"],["17"],9,30,28,4,17,["23"],2,["7"],3.0,23.0,14.0,["22"],12,3.0,7,30,["7.0"],28,["16"],["15"],13.0,23.0,23.0,18.0,["11"],["14.0"],30,28,10,30,["0"],["7"],29,2,31,0,["12"],["25"],18.0
27.0,11.0,["30"],31.0,"[4,wc4_4@13,wc4_3@7,29,wc4_1@14,29,24,16,22,11,30,18,28,28,5,16,11,s1@21,s2@19,s3@14,s4@1,s5@0,s6@3,s7@31]",["0.0"],23.0,["null"],27.0,24.0,11.0,["31"],["1.0"],["null"],["null"],["20"],["29"],19,21,["3"],19,14,14,["null"],29,["0"],["3"],["31"],["null"],["null"],["2"],1,13,11,23,4,["6"],26,["14"],6.0,24.0,8.0,["25"],26,29.0,13,30,["22.0"],25,["28"],["25"],11.0,4.0,30.0,28.0,["22"],["12.0"],28,18,5,28,["11"],["16"],29,24,16,22,["11"],["30"],18.0
23.0,26.0,["17"],25.0,"[20,wc4_4@1,wc4_3@7,20,wc4_1@15,3,23,30,11,24,27,17,16,14,11,9,25,s1@14,s2@4,s3@16,s4@30,s5@20,s6@31,s7@14]",["1.0"],1.0,["null"],28.0,0.0,2.0,["30"],["9.0"],["null"],["null"],["31"],["9"],18,14,["29"],4,16,15,["null"],20,["20"],["31"],["14"],["null"],["null"],["7"],21,1,26,10,30,["18"],20,["8"],3.0,17.0,0.0,["5"],19,29.0,21,30,["2.0"],17,["0"],["26"],29.0,17.0,9.0,20.0,["7"],["29.0"],16,17,11,14,["25"],["9"],3,23,30,11,["24"],["27"],27.0
23.0,19.0,["17"],3.0,"[24,wc4_4@5,wc4_3@13,30,wc4_1@25,21,31,6,26,11,8,14,28,25,3,27,15,s1@3,s2@24,s3@18,s4@0,s5@4,s6@17,s7@2]",["8.0"],5.0,["null"],8.0,19.0,25.0,["6"],["22.0"],["null"],["null"],["23"],["11"],13,3,["0"],24,18,25,["null"],30,["4"],["17"],["2"],["null"],["null"],["24"],16,5,6,6,14,["6"],21,["29"],21.0,6.0,5.0,["2"],25,10.0,11,5,["28.0"],18,["25"],["16"],28.0,31.0,6.0,17.0,["10"],["15.0"],28,14,3,25,["15"],["27"],21,31,6,26,["11"],["8"],24.0
1.0,21.0,["7"],28.0,"[20,wc4_4@3,wc4_3@28,25,wc4_1@4,19,24,5,4,10,24,5,21,7,1,10,24,s1@14,s2@28,s3@30,s4@7,s5@6,s6@20,s7@11]",["24.0"],19.0,["null"],18.0,26.0,2.0,["24"],["10.0"],["null"],["null"],["12"],["23"],31,14,["14"],28,30,4,["null"],25,["6"],["20"],["11"],["null"],["null"],["9"],7,3,16,26,22,["19"],12,["30"],28.0,12.0,12.0,["31"],7,30.0,7,14,["22.0"],26,["23"],["5"],22.0,22.0,30.0,2.0,["31"],["27.0"],21,5,1,7,["24"],["10"],19,24,5,4,["10"],["24"],21.0
6.0,18.0,["25"],16.0,"[6,wc4_4@25,wc4_3@4,31,wc4_1@28,27,14,26,20,2,4,0,1,9,9,25,0,s1@24,s2@22,s3@26,s4@31,s5@14,s6@24,s7@27]",["27.0"],25.0,["null"],11.0,26.0,21.0,["23"],["23.0"],["null"],["null"],["22"],["24"],9,24,["11"],22,26,28,["null"],31,["14"],["24"],["27"],["null"],["null"],["31"],11,25,27,1,3,["30"],26,["28"],12.0,4.0,3.0,["2"],7,9.0,11,6,["0.0"],15,["12"],["19"],19.0,21.0,28.0,9.0,["14"],["8.0"],1,0,9,9,["0"],["25"],27,14,26,20,["2"],["4"],16.0
3.0,0.0,["5"],27.0,"[22,wc4_4@8,wc4_3@23,7,wc4_1@18,20,10,27,11,18,10,3,28,5,11,27,30,s1@30,s2@12,s3@26,s4@5,s5@29,s6@18,s7@29]",["29.0"],15.0,["null"],25.0,1.0,10.0,["5"],["5.0"],["null"],["null"],["31"],["28"],25,30,["31"],12,26,18,["null"],7,["29"],["18"],["29"],["null"],["null"],["31"],29,8,25,14,16,["26"],0,["7"],27.0,19.0,23.0,["30"],29,31.0,19,21,["23.0"],22,["22"],["5"],18.0,7.0,28.0,12.0,["28"],["10.0"],28,3,11,5,["30"],["27"],20,10,27,11,["18"],["10"],27.0
